Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2018,Human Resources and Development,Human Services,King Open Extended Day,M867-702,Extended Day Teacher,38538
2018,Human Resources and Development,Human Services,King Open Extended Day,M867-707,Extended Day Teacher,38538
2018,Human Resources and Development,Human Services,King Open Extended Day,M867-708,Extended Day Teacher,38538
2018,Human Resources and Development,Human Services,King Open Extended Day,M867-709,Extended Day Teacher,38045
2018,Human Resources and Development,Human Services,King Open Extended Day,M867-710,Extended Day Teacher,38538
2018,Human Resources and Development,Human Services,King Open Extended Day,M867-711,Extended Day Teacher,38538
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",M501-702,Admin Asst/Dhsp,58290
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",C101-701,Admin Asst/Personnel/DHSP,55873
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",O011-701,Asst City Mngr/Human Serv,192507
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",M425-702,Asst.Dir for Administration,124363
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",M767-701,Asst.Dir./Adult & Fam. Srvc,124363
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",M231-701,Asst.Dir./Child Yth & Fam Srv,124363
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",M242-701,DHSP Operations Manager,62105
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",M305-701,DHSP Systems Coordinator,70366
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",K031-001,Fiscal Administrator,24278
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",M455-701,Off. of College Success Coord.,86045
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",M768-701,Personnl Admin/Fuel Drctr/Dhsp,89467
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",M158-701,Project Coordinator/DHSP,96638
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",C171-702,Sr Account Clerk,55272
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",C171-706,Sr Account Clerk,55272
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",C171-710,Sr Account Clerk,52053
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",M451-701,Steam Coordinator,103755
2018,Human Resources and Development,Human Services,"Leadership, Operations & IT",M156-702,System Administrator,100976
2018,Human Resources and Development,Human Services,Multi-Service Center ,M761-701,Case Manager/Dhsp,59342
2018,Human Resources and Development,Human Services,Multi-Service Center ,M761-702,Case Manager/Dhsp,59342
2018,Human Resources and Development,Human Services,Multi-Service Center ,M466-701,Haitian Services Coordina,59342
2018,Human Resources and Development,Human Services,Multi-Service Center ,M464-701,Housng Spec/Elderly/Disab,59342
2018,Human Resources and Development,Human Services,Multi-Service Center ,M438-701,Multi Service Center Assistant,42926
2018,Human Resources and Development,Human Services,Multi-Service Center ,M478-701,Multiservice Center Direc,77325
2018,Human Resources and Development,Human Services,Multi-Service Center ,C110-705,Sr Clerk & Typist,38861
2018,Human Resources and Development,Human Services,Office of Workforce Development,M494-701,Career Counselor/CEP,60875
2018,Human Resources and Development,Human Services,Office of Workforce Development,M494-703,Career Counselor/CEP,60875
2018,Human Resources and Development,Human Services,Office of Workforce Development,M384-701,"Case Mgr, Tran Jobs Prog.",60875
2018,Human Resources and Development,Human Services,Office of Workforce Development,M361-701,Div Head/Workforce Develp,97907
2018,Human Resources and Development,Human Services,Office of Workforce Development,M362-701,Employment Coordinator,69610
2018,Human Resources and Development,Human Services,Office of Workforce Development,M766-701,Employment Planning & Dev. Dir,82388
2018,Human Resources and Development,Human Services,Office of Workforce Development,M497-701,Employment Services Coord.,60875
2018,Human Resources and Development,Human Services,Office of Workforce Development,M360-701,Prog Dir-Adult Empl/WDO,83541
2018,Human Resources and Development,Human Services,Office of Workforce Development,M364-701,Program Asst/WDO,44789
2018,Human Resources and Development,Human Services,Office of Workforce Development,M498-701,Senior Job Developer,69610
2018,Human Resources and Development,Human Services,Office of Workforce Development,M375-701,Sr. Youth Programs Manager,82388
2018,Human Resources and Development,Human Services,Office of Workforce Development,M379-701,Transitional Jobs Prog. Coord.,86410
2018,Human Resources and Development,Human Services,Office of Workforce Development,M496-002,Workshop Fac&Job Developer CEP,54283
2018,Human Resources and Development,Human Services,Planning and Development,M447-701,HMIS Project Manager,72466
2018,Human Resources and Development,Human Services,Planning and Development,M159-701,Homeless Srvcs Continuum Plan,72466
2018,Human Resources and Development,Human Services,Planning and Development,K493-001,Planner/Contract Manager,65580
2018,Human Resources and Development,Human Services,Recreation,M474-701,Asst Site Supervisor/Dane,54089
2018,Human Resources and Development,Human Services,Recreation,M474-702,Asst Site Supervisor/Dane,54089
2018,Human Resources and Development,Human Services,Recreation,M474-703,Asst Site Supervisor/Dane,54089
2018,Human Resources and Development,Human Services,Recreation,A861-701,Bus Driver/Rec/Wkend,61343
2018,Human Resources and Development,Human Services,Recreation,M473-701,Danehy Site Supervisor,84569
2018,Human Resources and Development,Human Services,Recreation,M452-701,Director of Golf,79984
2018,Human Resources and Development,Human Services,Recreation,M450-701,Div Head/Recreation,96771
2018,Human Resources and Development,Human Services,Recreation,M221-701,Permit & War Mem.Rec Ctr Coord,59195
2018,Human Resources and Development,Human Services,Recreation,M449-701,Recr Ctr & Aquatics Coord.,74305
2018,Human Resources and Development,Human Services,Recreation,A622-701,Superintendent-Golf Course,76779
2018,Human Resources and Development,Human Services,Recreation,M421-701,Youth Program Manager,69610
2018,Human Resources and Development,Human Services,Youth Programs,M875-001,Dir./Prgm Quality & Training,78075
2018,Human Resources and Development,Human Services,Youth Programs,M875-002,Dir./Prgm Quality & Training,83541
2018,Human Resources and Development,Human Services,Youth Programs,M699-701,Div Head/Yth Prgm,95122
2018,Human Resources and Development,Human Services,Youth Programs,M448-701,Middle School Program Coord,52443
2018,Human Resources and Development,Human Services,Youth Programs,M287-701,Special Projects Manager/Youth,62105
2018,Human Resources and Development,Human Services,Youth Programs,M870-701,Youth Center Director,60866
2018,Human Resources and Development,Human Services,Youth Programs,M870-702,Youth Center Director,62105
2018,Human Resources and Development,Human Services,Youth Programs,M870-703,Youth Center Director,62105
2018,Human Resources and Development,Human Services,Youth Programs,M870-704,Youth Center Director,56128
2018,Human Resources and Development,Human Services,Youth Programs,M870-705,Youth Center Director,53582
2018,Human Resources and Development,Human Services,Youth Programs,M427-703,Youth Center Program Director,45108
2018,Human Resources and Development,Human Services,Youth Programs,M427-705,Youth Center Program Director,52443
2018,Human Resources and Development,Human Services,Youth Programs,M427-706,Youth Center Program Director,52443
2018,Human Resources and Development,Human Services,Youth Programs,M427-709,Youth Center Program Director,51812
2018,Human Resources and Development,Human Services,Youth Programs,M427-710,Youth Center Program Director,52443
2018,Human Resources and Development,Human Services,Youth Programs,M427-711,Youth Center Program Director,52443
2018,Human Resources and Development,Human Services,Youth Programs,M427-712,Youth Center Program Director,43581
2018,Human Resources and Development,Human Services,Youth Programs,M427-713,Youth Center Program Director,43412
2018,Human Resources and Development,Human Services,Youth Programs,M427-714,Youth Center Program Director,45321
2018,Human Resources and Development,Library,Branch Libraries,L410-703,Branch Manager,61524
2018,Human Resources and Development,Library,Branch Libraries,L410-705,Branch Manager,70194
2018,Human Resources and Development,Library,Branch Libraries,L410-706,Branch Manager,70533
2018,Human Resources and Development,Library,Branch Libraries,L410-707,Branch Manager,70533
2018,Human Resources and Development,Library,Branch Libraries,L410-710,Branch Manager,70533
2018,Human Resources and Development,Library,Branch Libraries,L413-709,Librarian II,48933
2018,Human Resources and Development,Library,Branch Libraries,L414-728,Library Assistant,20877
2018,Human Resources and Development,Library,Branch Libraries,L431-705,Library Associate,54589
2018,Human Resources and Development,Library,Branch Libraries,L431-710,Library Associate,43671
2018,Human Resources and Development,Library,Branch Libraries,L422-705,Library Clerk,17488
2018,Human Resources and Development,Library,Branch Libraries,L422-709,Library Clerk,31364
2018,Human Resources and Development,Library,Branch Libraries,L422-713,Library Clerk,20986
2018,Human Resources and Development,Library,Branch Libraries,L422-714,Library Clerk,17488
2018,Human Resources and Development,Library,Branch Libraries,L422-716,Library Clerk,16018
2018,Human Resources and Development,Library,Branch Libraries,L422-723,Library Clerk,17488
2018,Human Resources and Development,Library,Branch Libraries,L422-726,Library Clerk,17327
2018,Human Resources and Development,Library,Branch Libraries,L422-730,Library Clerk,15026
2018,Human Resources and Development,Library,Branch Libraries,L422-731,Library Clerk,17488
2018,Human Resources and Development,Library,Branch Libraries,L422-732,Library Clerk,15770
2018,Human Resources and Development,Library,Branch Libraries,L422-734,Library Clerk,15536
2018,Human Resources and Development,Library,Branch Libraries,X078-001,Library Page,4290
2018,Human Resources and Development,Library,Branch Libraries,X078-012,Library Page,4290
2018,Human Resources and Development,Library,Branch Libraries,X078-013,Library Page,4290
2018,Human Resources and Development,Library,Branch Libraries,L427-701,Literacy Specialist,70533
2018,Human Resources and Development,Library,Branch Libraries,M411-701,Manager of Branch Services,85651
2018,Human Resources and Development,Library,Branch Libraries,L408-708,Senior Librarian,70533
2018,Human Resources and Development,Library,Branch Libraries,L432-701,Senior Technician,62969
2018,Human Resources and Development,Library,Branch Libraries,L412-702,Staff Librarian,60539
2018,Human Resources and Development,Library,Branch Libraries,L412-710,Staff Librarian,59465
2018,Human Resources and Development,Library,Branch Libraries,L412-722,Staff Librarian,62969
2018,Human Resources and Development,Library,Branch Libraries,L412-727,Staff Librarian,62969
2018,Human Resources and Development,Library,Branch Libraries,L412-729,Staff Librarian,54924
2018,Human Resources and Development,Library,Branch Libraries,L412-730,Staff Librarian,62969
2018,Human Resources and Development,Library,Main Library,M406-702,Asst Director/Lib,106540
2018,Human Resources and Development,Library,Main Library,C738-003,Building Custodian/Library,49958
2018,Human Resources and Development,Library,Main Library,C738-004,Building Custodian/Library,41672
2018,Human Resources and Development,Library,Main Library,C738-006,Building Custodian/Library,47160
2018,Human Resources and Development,Library,Main Library,M401-701,Communications Manager,81058
2018,Human Resources and Development,Library,Main Library,M410-701,Deputy Director/Lib,124363
2018,Human Resources and Development,Library,Main Library,O401-701,Dir/Library & Communications,150504
2018,Human Resources and Development,Library,Main Library,M109-701,Executive Assistant/Library,64128
2018,Human Resources and Development,Library,Main Library,M109-702,Executive Assistant/Library,58304
2018,Human Resources and Development,Library,Main Library,M419-701,Facilities Manager/Library,100976
2018,Human Resources and Development,Library,Main Library,L420-701,Graphic Designer,57299
2018,Human Resources and Development,Library,Main Library,M110-701,Human Resource Coord./Library,45772
2018,Human Resources and Development,Library,Main Library,L414-702,Library Assistant,46825
2018,Human Resources and Development,Library,Main Library,L414-707,Library Assistant,18045
2018,Human Resources and Development,Library,Main Library,L414-709,Library Assistant,17592
2018,Human Resources and Development,Library,Main Library,L414-710,Library Assistant,21042
2018,Human Resources and Development,Library,Main Library,l414-711,Library Assistant,46825
2018,Human Resources and Development,Library,Main Library,L414-715,Library Assistant,46825
2018,Human Resources and Development,Library,Main Library,L414-720,Library Assistant,46825
2018,Human Resources and Development,Library,Main Library,L414-723,Library Assistant,46825
2018,Human Resources and Development,Library,Main Library,L414-724,Library Assistant,44045
2018,Human Resources and Development,Library,Main Library,L414-725,Library Assistant,46825
2018,Human Resources and Development,Library,Main Library,L414-727,Library Assistant,46825
2018,Human Resources and Development,Library,Main Library,l414-729,Library Assistant,29502
2018,Human Resources and Development,Library,Main Library,L431-701,Library Associate,50896
2018,Human Resources and Development,Library,Main Library,L431-704,Library Associate,21396
2018,Human Resources and Development,Library,Main Library,L431-706,Library Associate,21835
2018,Human Resources and Development,Library,Main Library,L431-711,Library Associate,53926
2018,Human Resources and Development,Library,Main Library,L431-726,Library Associate,54589
2018,Human Resources and Development,Library,Main Library,L431-727,Library Associate,62091
2018,Human Resources and Development,Library,Main Library,L422-704,Library Clerk,34976
2018,Human Resources and Development,Library,Main Library,L422-706,Library Clerk,17427
2018,Human Resources and Development,Library,Main Library,L422-708,Library Clerk,15897
2018,Human Resources and Development,Library,Main Library,L422-712,Library Clerk,34976
2018,Human Resources and Development,Library,Main Library,L422-715,Library Clerk,14970
2018,Human Resources and Development,Library,Main Library,L422-717,Library Clerk,15172
2018,Human Resources and Development,Library,Main Library,L422-718,Library Clerk,17488
2018,Human Resources and Development,Library,Main Library,L422-719,Library Clerk,32006
2018,Human Resources and Development,Library,Main Library,L422-720,Library Clerk,14680
2018,Human Resources and Development,Library,Main Library,L422-721,Library Clerk,16719
2018,Human Resources and Development,Library,Main Library,L422-727,Library Clerk,17338
2018,Human Resources and Development,Library,Main Library,L422-728,Library Clerk,15668
2018,Human Resources and Development,Library,Main Library,L422-729,Library Clerk,14970
2018,Human Resources and Development,Library,Main Library,L422-733,Library Clerk,15226
2018,Human Resources and Development,Library,Main Library,L422-735,Library Clerk,37800
2018,Human Resources and Development,Library,Main Library,L422-736,Library Clerk,43114
2018,Human Resources and Development,Library,Main Library,L422-737,Library Clerk,34976
2018,Human Resources and Development,Library,Main Library,X078-004,Library Page,4290
2018,Human Resources and Development,Library,Main Library,X078-005,Library Page,4290
2018,Human Resources and Development,Library,Main Library,X078-006,Library Page,4290
2018,Human Resources and Development,Library,Main Library,X078-007,Library Page,4290
2018,Human Resources and Development,Library,Main Library,X078-008,Library Page,4290
2018,Human Resources and Development,Library,Main Library,X078-009,Library Page,4290
2018,Human Resources and Development,Library,Main Library,X078-010,Library Page,4290
2018,Human Resources and Development,Library,Main Library,X078-011,Library Page,4290
2018,Human Resources and Development,Library,Main Library,M417-701,Manager of Adult Services,76187
2018,Human Resources and Development,Library,Main Library,M417-702,Manager of Adult Services,90923
2018,Human Resources and Development,Library,Main Library,M402-701,Manager of Collection Svcs,84254
2018,Human Resources and Development,Library,Main Library,M405-701,Manager of Finance and Oper.,96033
2018,Human Resources and Development,Library,Main Library,M416-701,Manager/Borrower Services,79743
2018,Human Resources and Development,Library,Main Library,M227-001,Mgr of Innovation & Technology,112658
2018,Human Resources and Development,Library,Main Library,M267-701,Program And Event Coordinator,56690
2018,Human Resources and Development,Library,Main Library,L408-702,Senior Librarian,76323
2018,Human Resources and Development,Library,Main Library,L408-703,Senior Librarian,70533
2018,Human Resources and Development,Library,Main Library,L408-706,Senior Librarian,70533
2018,Human Resources and Development,Library,Main Library,L408-707,Senior Librarian,70533
2018,Human Resources and Development,Library,Main Library,L408-709,Senior Librarian,70533
2018,Human Resources and Development,Library,Main Library,L408-710,Senior Librarian,70533
2018,Human Resources and Development,Library,Main Library,L408-711,Senior Librarian,70533
2018,Human Resources and Development,Library,Main Library,L432-702,Senior Technician,58875
2018,Human Resources and Development,Library,Main Library,C720-001,Sr Building Custodian,54732
2018,Human Resources and Development,Library,Main Library,X426-001,Sr Substitute I/Int,7821
2018,Human Resources and Development,Library,Main Library,L412-704,Staff Librarian,55795
2018,Human Resources and Development,Library,Main Library,L412-714,Staff Librarian,62969
2018,Human Resources and Development,Library,Main Library,L412-715,Staff Librarian,59377
2018,Human Resources and Development,Library,Main Library,L412-716,Staff Librarian,47022
2018,Human Resources and Development,Library,Main Library,L412-721,Staff Librarian,57608
2018,Human Resources and Development,Library,Main Library,L412-724,Staff Librarian,62969
2018,Human Resources and Development,Library,Main Library,L412-725,Staff Librarian,57454
2018,Human Resources and Development,Library,Main Library,L412-731,Staff Librarian,62969
2018,Human Resources and Development,Library,Main Library,L412-734,Staff Librarian,61923
2018,Human Resources and Development,Library,Main Library,L412-735,Staff Librarian,62969
2018,Human Resources and Development,Library,Main Library,L412-736,Staff Librarian,54924
2018,Human Resources and Development,Library,Main Library,M409-701,Systems Coordinator/Library,100976
2018,Human Resources and Development,Veterans' Services,Administration & Benefits,C091-001,Admin Asst/Veterans,37249
2018,Human Resources and Development,Veterans' Services,Administration & Benefits,O075-001,Director/Veterans Services,94868
2018,Human Resources and Development,Veterans' Services,Administration & Benefits,M251-001,Manager/Vet Benefits & Svs,79079
2019,General Government,City Clerk,Administration,M304-701,Business Prod Analyst/Prj.Mgr.,84460
2019,General Government,City Clerk,Administration,O008-701,City Clerk,143273
2019,General Government,City Clerk,Administration,O044-701,Deputy City Clerk,121575
2019,General Government,City Clerk,Administration,M433-701,Operations Mngr/City Cler,104724
2019,General Government,City Clerk,Administration,C107-703,Principal Clerk,48788
2019,General Government,City Clerk,Administration,C107-704,Principal Clerk,34802
2019,General Government,City Clerk,Administration,C107-706,Principal Clerk,33826
2019,General Government,City Clerk,Administration,C107-707,Principal Clerk,38276
2019,General Government,City Clerk,Administration,C107-708,Principal Clerk,48788
2019,General Government,City Clerk,Administration,C107-709,Principal Clerk,40357
2019,General Government,City Clerk,Administration,M103-701,Vital Records Supervisor,66129
2019,General Government,City Council,Administration,M079-701,Admin Project Assistant,67376
2019,General Government,City Council,Administration,O002-702,City Councillor,81552
2019,General Government,City Council,Administration,O002-703,City Councillor,81552
2019,General Government,City Council,Administration,O002-704,City Councillor,81552
2019,General Government,City Council,Administration,O002-705,City Councillor,81552
2019,General Government,City Council,Administration,O002-706,City Councillor,81552
2019,General Government,City Council,Administration,O002-707,City Councillor,81552
2019,General Government,City Council,Administration,O002-708,City Councillor,81552
2019,General Government,City Council,Administration,O002-709,City Councillor,81552
2019,General Government,City Council,Administration,M255-701,Council Aide,51650
2019,General Government,City Council,Administration,M255-702,Council Aide,51650
2019,General Government,City Council,Administration,M255-703,Council Aide,51650
2019,General Government,City Council,Administration,M255-704,Council Aide,51650
2019,General Government,City Council,Administration,M255-705,Council Aide,51650
2019,General Government,City Council,Administration,M255-706,Council Aide,51650
2019,General Government,City Council,Administration,M255-708,Council Aide,51650
2019,General Government,City Council,Administration,M255-709,Council Aide,51650
2019,General Government,City Council,Administration,M147-710,Executive Asst To City Council,115831
2019,General Government,City Council,Administration,O001-701,Mayor,121785
2019,General Government,Election Commission,Administration,M076-701,Asst Director/Election Comm,77541
2019,General Government,Election Commission,Administration,C117-053,Clerk/Clerical Aide,29004
2019,General Government,Election Commission,Administration,M803-701,Election Commissioner,37373
2019,General Government,Election Commission,Administration,M803-702,Election Commissioner,37373
2019,General Government,Election Commission,Administration,M803-703,Election Commissioner,31271
2019,General Government,Election Commission,Administration,M803-704,Election Commissioner,37373
2019,General Government,Election Commission,Administration,M056-701,Exec Dir/Election,117793
2019,General Government,Election Commission,Administration,M068-701,Operations Manager/Election,1
2019,General Government,Election Commission,Administration,M068-702,Operations Manager/Election,71326
2019,General Government,Election Commission,Administration,C110-025,Sr Clerk & Typist,45842
2019,General Government,Election Commission,Administration,C110-026,Sr Clerk & Typist,36673
2019,General Government,Election Commission,Administration,C110-706,Sr Clerk & Typist,45842
2019,General Government,Executive,Domestic & Gender-Based Violence Prevention Initiative,M211-701,Coord. of Camb.Init.DV & GBP,80295
2019,General Government,Executive,Domestic & Gender-Based Violence Prevention Initiative,M213-703,Research Associate,30648
2019,General Government,Executive,Leadership,M066-701,Asst To City Manager,105295
2019,General Government,Executive,Leadership,O003-701,City Manager,307308
2019,General Government,Executive,Leadership,O022-701,Deputy City Manager,237441
2019,General Government,Executive,Leadership,M070-701,Exec Asst To City Mngr,79599
2019,General Government,Executive,Leadership,M070-702,Exec Asst To City Mngr,78922
2019,General Government,Executive,Leadership,MHA -001,Housing Advocate,81989
2019,General Government,Executive,Leadership,M117-701,Office Manager/Executive,105295
2019,General Government,Executive,Leadership,M617-701,PTDM Planning Officer,99054
2019,General Government,Executive,Leadership,M052-701,Senior Management Analyst,105296
2019,General Government,Executive,Office of Equity and Inclusion,M148-701,Dir. of Equity and Inclusion,102782
2019,General Government,Executive,Public Information Office,M359-702,Customer Relationship Prg. Mgr,103501
2019,General Government,Executive,Public Information Office,M188-701,Director/Communication CommRel,127472
2019,General Government,Executive,Public Information Office,M265-701,Public Info Officer,109039
2019,General Government,Finance,Administration,O006-701,Asst City Mngr/Fiscal,197319
2019,General Government,Finance,Assessing,C094-003,Admin Asst/Fisc/Gen/Bld/R,49752
2019,General Government,Finance,Assessing,M185-003,Assessment Analyst,67929
2019,General Government,Finance,Assessing,M185-004,Assessment Analyst,67929
2019,General Government,Finance,Assessing,O013-701,Assessor,123814
2019,General Government,Finance,Assessing,O026-701,Assessor/Commercial,118842
2019,General Government,Finance,Assessing,M383-001,Asst to Board of Assessors,82346
2019,General Government,Finance,Assessing,M386-701,Commercial Appraiser,84155
2019,General Government,Finance,Assessing,C088-001,Customer Service Rep/Deed Spec,57252
2019,General Government,Finance,Assessing,M380-701,Customer Srvc. Sup./Deed Spec.,72379
2019,General Government,Finance,Assessing,O327-701,Dir/Assessment,159730
2019,General Government,Finance,Assessing,M418-701,Mngr. of Assessing Operations,98191
2019,General Government,Finance,Assessing,M024-002,Sr Assistant Assessor,72971
2019,General Government,Finance,Assessing,M105-001,Sr. Asst Assessor/Field Operat,92187
2019,General Government,Finance,Assessing,M106-701,Title Examiner,44369
2019,General Government,Finance,Auditing,C176-018,Account Clerk,45842
2019,General Government,Finance,Auditing,M336-001,AccT/Financial Reporti Analyst,81509
2019,General Government,Finance,Auditing,M017-001,Analyst/Auditing,71083
2019,General Government,Finance,Auditing,O007-701,City Auditor,148714
2019,General Government,Finance,Auditing,M002-702,General Ledger Accountant,98191
2019,General Government,Finance,Auditing,C170-701,Sr. Account Clerk/Audit,57252
2019,General Government,Finance,Auditing,C171-702,Sr. Account Clerk/Audit,57252
2019,General Government,Finance,Budget,O025-701,Budget Director,159730
2019,General Government,Finance,Budget,M184-001,Principal Budget Analyst,83547
2019,General Government,Finance,Budget,m184-002,Principal Budget Analyst,91766
2019,General Government,Finance,Budget,M184-003,Principal Budget Analyst,91766
2019,General Government,Finance,Budget,M184-004,Principal Budget Analyst,86242
2019,General Government,Finance,Information Technology ,M141-701,Administrative Asst/IT,75522
2019,General Government,Finance,Information Technology ,M901-701,Asst Dir of Info Tech Admin,138270
2019,General Government,Finance,Information Technology ,M906-701,Asst Dir/ IT Infrastructure,138270
2019,General Government,Finance,Information Technology ,M344-701,Audio Visual Technician,90861
2019,General Government,Finance,Information Technology ,M388-701,Building Security Engineer,103501
2019,General Government,Finance,Information Technology ,M037-701,Chief Information Officer,163353
2019,General Government,Finance,Information Technology ,M705-701,Database Administrator,118109
2019,General Government,Finance,Information Technology ,M142-701,Enterprise Applications Specia,106910
2019,General Government,Finance,Information Technology ,M142-703,Enterprise Applications Specia,98791
2019,General Government,Finance,Information Technology ,M149-701,GIS Manager,118109
2019,General Government,Finance,Information Technology ,M166-701,GIS Senior Programmer  Analyst,98804
2019,General Government,Finance,Information Technology ,M550-701,GIS Technical Specialist,76379
2019,General Government,Finance,Information Technology ,M702-702,MIS Project Manager,109328
2019,General Government,Finance,Information Technology ,M165-701,Network Engineer L2,109328
2019,General Government,Finance,Information Technology ,M701-701,Network Manager,118109
2019,General Government,Finance,Information Technology ,M098-701,Open Data Program Manager,95293
2019,General Government,Finance,Information Technology ,M708-701,Proj Mngr/Business Analyst L1,103501
2019,General Government,Finance,Information Technology ,M708-702,Proj Mngr/Business Analyst L1,97067
2019,General Government,Finance,Information Technology ,M704-701,Proj Mngr/Business Analyst L2,109328
2019,General Government,Finance,Information Technology ,M119-703,Sr Programmer/Sys Analyst,95278
2019,General Government,Finance,Information Technology ,M130-702,System Administrator L2,102898
2019,General Government,Finance,Information Technology ,M320-702,"System Administrator, Level 1",103501
2019,General Government,Finance,Information Technology ,M320-706,"System Administrator, Level 1",103501
2019,General Government,Finance,Information Technology ,M097-701,Systems Administration Manager,116969
2019,General Government,Finance,Information Technology ,M204-701,Technical Support Lvl 2,103501
2019,General Government,Finance,Information Technology ,M131-004,Technical Support Lvl I,82106
2019,General Government,Finance,Information Technology ,M131-005,Technical Support Lvl I,82106
2019,General Government,Finance,Information Technology ,M131-006,Technical Support Lvl I,79076
2019,General Government,Finance,Information Technology ,M131-007,Technical Support Lvl I,77264
2019,General Government,Finance,Information Technology ,M706-701,Technical Support Manager,108520
2019,General Government,Finance,Information Technology ,MTTC-001,Technology Training Coordinator,102496
2019,General Government,Finance,Information Technology ,M212-701,UX Designer/Front End Develope,86950
2019,General Government,Finance,Information Technology ,m162-701,Web Content Specialist,87379
2019,General Government,Finance,Information Technology ,M252-701,Web Developer,95278
2019,General Government,Finance,Information Technology ,M206-701,Web Manager,118109
2019,General Government,Finance,Personnel,M007-001,Account Coordinator,67988
2019,General Government,Finance,Personnel,M334-001,Administrative Assistant,58407
2019,General Government,Finance,Personnel,M093-701,Asst Director/HR Administratio,117293
2019,General Government,Finance,Personnel,M084-001,Asst Director/HR Development,117293
2019,General Government,Finance,Personnel,M304-703,Business Prod Analyst/Prj.Mgr.,84460
2019,General Government,Finance,Personnel,M189-001,Employee Benefits Svs Rep,59748
2019,General Government,Finance,Personnel,M363-002,Employment Resource Spec,58407
2019,General Government,Finance,Personnel,M026-001,Manager/Benefits & Compensatio,98191
2019,General Government,Finance,Personnel,M040-701,Mngr/Training & Staff Developm,98191
2019,General Government,Finance,Personnel,O014-701,Personnel Director,159730
2019,General Government,Finance,Personnel,M199-001,Personnel Specialist,62440
2019,General Government,Finance,Personnel,M182-001,Personnel/Labor Svs Analyst,82346
2019,General Government,Finance,Personnel,M095-701,Workers' Comp Claims Spec,66891
2019,General Government,Finance,Purchasing,C121-001,Admin Asst/Purchasing,57058
2019,General Government,Finance,Purchasing,M021-001,Asst Purch Agent for Sup.& Ser,98434
2019,General Government,Finance,Purchasing,M377-001,Asst.Purch Agent/Design & Cons,96082
2019,General Government,Finance,Purchasing,C193-003,Buyer/Purchasing,57252
2019,General Government,Finance,Purchasing,c193-004,Buyer/Purchasing,57252
2019,General Government,Finance,Purchasing,C193-005,Buyer/Purchasing,57252
2019,General Government,Finance,Purchasing,M214-701,Construc & Sustain.Purch. Spec,66652
2019,General Government,Finance,Purchasing,O016-701,Purchasing Agent,147805
2019,General Government,Finance,Revenue,M015-701,Admin Asst/Cash Managemnt,67929
2019,General Government,Finance,Revenue,C094-004,Admin Asst/Fisc/Gen/Bld/R,55873
2019,General Government,Finance,Revenue,M074-701,Assistant Finance Director,159730
2019,General Government,Finance,Revenue,C173-701,Cashier Coordinator,61022
2019,General Government,Finance,Revenue,M806-701,Cust. Srvc Sup/Tax Title Liais,79599
2019,General Government,Finance,Revenue,M801-702,Cust.Srvs Sup/Online Pay Coord,79599
2019,General Government,Finance,Revenue,M907-702,Finance Revenue Analyst,80675
2019,General Government,Finance,Revenue,M057-701,Manager of Collections,98191
2019,General Government,Finance,Revenue,C171-707,Sr Account Clerk,55272
2019,General Government,Finance,Treasury,M304-702,Business Prod Analyst/Prj.Mgr.,84460
2019,General Government,Finance,Treasury,M503-701,Cash Reconciliation Analyst,67679
2019,General Government,Finance,Treasury,M132-701,Director of Payroll,98191
2019,General Government,Finance,Treasury,M073-701,Project/Cash Manager,82346
2019,General Government,Finance,Treasury,M171-704,Senior Account Clerk,62440
2019,General Government,General Services,General Services,C754-170,Laborer/Print Shop,31688
2019,General Government,General Services,General Services,C142-005,Offset Duplicating Machine Opr,55059
2019,General Government,General Services,General Services,M050-001,Supervisor Of Printing,92100
2019,General Government,Law,Administration ,C094-002,Admin Asst/Fisc/Gen/Bld/R,55873
2019,General Government,Law,Administration ,C094-711,Admin Asst/Fisc/Gen/Bld/R,39864
2019,General Government,Law,Administration ,M088-701,Assistant City Solicitor,112054
2019,General Government,Law,Administration ,M088-702,Assistant City Solicitor,112054
2019,General Government,Law,Administration ,M088-703,Assistant City Solicitor,107655
2019,General Government,Law,Administration ,M088-704,Assistant City Solicitor,106341
2019,General Government,Law,Administration ,M088-706,Assistant City Solicitor,112054
2019,General Government,Law,Administration ,M088-707,Assistant City Solicitor,112054
2019,General Government,Law,Administration ,O010-701,City Solicitor,176682
2019,General Government,Law,Administration ,M058-701,Deputy City Solicitor,140564
2019,General Government,Law,Administration ,M167-701,First Asst City Solicitor,124622
